id,abstract,classification,timeline,citedby,legal
US-10165945-B1,"A mechanism is provided for interactively indicating information associated with a patient on a hospital garment. A set of questions is identified utilizing a set of information received from a plurality of sources within a medical facility. The set of information is analyzed for a set of key elements. The set of key elements is utilized to identify one or more questions from a search question database. The one or more questions are submitted to a request processing pipeline implemented by a healthcare cognitive system. Responsive to receiving a response from the request processing pipeline, one or more communications are identified to be sent to one or more hospital garments associated with the patient and/or medical staff. The one or more communications are sent to the one or more hospital garments to cause the one or more hospital garments to change a visual cue.","G16H70/00, G16H50/30, G16H50/00, A61B5/00, G16H40/00, A61B5/7465, G16H10/00, G16H10/20, G06Q50/22, G06Q50/00, A61B5/74, A61B5/6801, A61B5/6804, G06Q50/10, G16H70/20, A61B5/0002, G16H10/60, G16H40/63, G06F19/3418, A61B5/7475, G16H50/50, A61B5/0015, A61B5/749, G16H40/60, A61B5/68, A61B5/6802","{'2017-08-29': 'Assigned to INTERNATIONAL BUSINESS MACHINES CORPORATION', '2019-01-01': 'Publication of US10165945B1', 'Status': 'Active', '2037-08-29': 'Anticipated expiration'}","{'US10887552B1': 'Vitalchat, Inc.'}",{}
US-10165949-B2,System and method for estimating posture of a user based on a model and images captured by at least two head-mounted cameras that are worn by the user and are oriented downward such that portions of the user's torso are in the respective fields of view of the cameras when the user stands up straight.,"A61B5/6813, A61B5/7282, A61B5/165, A61B5/0075, G01J5/12, A61B5/00, A61B5/015, A61B2562/02, A61B2562/0276, A61B2576/00, A61B5/163, G01J2005/0085, G01J5/48, A61B5/6814, A61B5/6803, A61B5/748, A61B5/74, A61B5/6801, A61B2562/00, A61B5/16, G01J5/485, A61B2562/0271, G01J2005/0077, G01J5/0265, A61B5/0077, G01J5/10, A61B5/7475, A61B5/01, G01J5/00, A61B5/7271, G01J5/02, A61B5/68, A61B5/0059, A61B5/6802, A61B5/72","{'2016-06-14': 'Application filed by Facense Ltd', '2016-07-14': 'Assigned to Facense Ltd.', '2016-12-15': 'Publication of US20160360970A1', '2017-10-02': 'Priority to US15/722,434', '2017-12-06': 'Priority to US15/832,879', '2018-01-02': 'Priority to US15/859,772', '2018-09-29': 'Priority to US16/147,695', '2018-10-10': 'Priority to US16/156,586', '2019-01-01': 'Application granted', '2019-04-04': 'Priority to US16/375,841', '2019-06-26': 'Priority to US16/453,993', '2019-08-26': 'Priority to US16/551,654', '2019-11-20': 'Priority to US16/689,959', '2020-03-26': 'Priority to US16/831,413', '2020-04-21': 'Priority to US16/854,883', '2020-08-27': 'Priority to US17/005,259', '2020-09-01': 'Priority to US17/009,655', '2020-09-21': 'Priority to US17/027,677', '2021-05-13': 'Priority to US17/319,634', '2021-07-21': 'Priority to US17/381,222', '2023-12-13': 'Priority to US18/538,234', 'Status': 'Active', '2037-03-01': 'Adjusted expiration'}","{'US20180182124A1': 'Fove, Inc.', 'US20190012528A1': 'Fove, Inc.', 'US20190018487A1': 'Sony Corporation', 'US10299716B2': 'Intel Corporation', 'US10754399B2': 'Magic Leap, Inc.', 'US10874309B2': 'Samsung Electronics Company, Ltd.', 'US10977873B2': 'Samsung Electronics Co., Ltd.', 'US11017540B2': 'Cognex Corporation', 'US11128817B2': 'Microsoft Technology Licensing, Llc', 'US11159716B1': 'International Business Machines Corporation', 'US11164321B2': 'Industrial Technology Research Institute', 'US11635868B2': 'Reavire, Inc.'}",{}
US-10165951-B2,"A method for measuring and determining a pulse arrival time (PAT) value of a user using a sensor device having a photoplethysmographic (PPG) multichannel sensor formed from a plurality of PPG sensor channels and being adapted to measure a set of PPG signals, each PPG signal being measured by one of the PPG sensor channels when the multichannel PPG sensor is in contact with the user; having: measuring the set of PPG signals; extracting a plurality of features from each of the measured PPG signals; selecting a subset from the set of PPG signals based on the extracted features; and processing the selected subset of PPG signals to determine the PAT value. The disclosed sensor and method can be embedded into a chest belt and do not need skilled supervision. They can represent a potential candidate for the implantation of PWV measurement campaigns in the ambulatory setting.","A61B5/0452, A61B2562/04, A61B5/026, A61B5/02, A61B5/316, A61B5/7207, A61B5/00, A61B5/02416, A61B5/0285, A61B5/318, A61B5/021, A61B2562/02, A61B5/7239, A61B5/0295, A61B2562/0233, A61B5/02108, A61B5/02125, A61B5/24, A61B5/6801, A61B2562/00, A61B5/346, A61B5/024, A61B5/683, A61B5/721, A61B2562/046, A61B5/6831, A61B5/7235, A61B5/349, A61B5/68, A61B5/7203, A61B5/72","{'2012-09-28': 'Priority to US13/629,673', '2013-02-08': 'Assigned to CSEM SA', '2013-02-14': 'Publication of US20130041268A1', '2018-09-11': ""Assigned to CSEM Centre Suisse d'Electronique et de Microtechnique SA - Recherche et D̩veloppement"", '2019-01-01': 'Publication of US10165951B2', 'Status': 'Active', '2033-08-18': 'Adjusted expiration'}",{},{}
US-10165964-B2,"Analysis of pulmonary scans representative of a patient's pulmonary structure can be used to classify a patient into one or more of a plurality of populations. The patient's scan can be mapped to a reference domain and analyzed to determine one or more fissure features associated with a plurality of regions in the reference domain. Comparison of the determined fissure features with a plurality of fissure atlases, each associated with different population, can be performed to classify the patient into one or more of the populations. Data from different fissure atlases can be compared to determine regions in the fissure atlases that distinguish one population from another. Such distinguishing regions can improve the ability to classify the patient while reducing errors based on false classifications.","G06T2207/00, G06T7/0012, G16H50/00, G06T2207/30004, A61B6/5217, G06V2201/03, G06T2207/30061, G06V2201/00, A61B5/00, G06F18/24, G16H30/40, A61B6/50, A61B5/0033, G06F19/321, G06F18/00, G06K9/6267, G06T7/0014, A61B6/03, G06T2207/30, A61B5/05, A61B6/032, G06V10/00, G16H50/80, G06T2207/10, G06V10/764, A61B5/055, G06T7/00, G06F18/20, A61B5/08, G06T2207/10072, A61B6/52, A61B6/037, A61B6/02, G16H30/00, G06T7/0002, A61B6/5211, G06K2209/05, A61B5/004, G06V10/70, A61B6/00, G16H30/20","{'2016-05-06': 'Priority to US15/148,767', '2016-06-13': 'Assigned to VIDA DIAGNOSTICS, INC.', '2016-11-10': 'Publication of US20160328850A1', '2018-11-08': 'Priority to US16/183,772', '2019-01-01': 'Publication of US10165964B2', '2024-03-18': 'Assigned to LIVE OAK BANKING COMPANY', 'Status': 'Active', '2036-08-11': 'Adjusted expiration'}",{'US11308615B1': 'Maurice Nessim'},{}
US-10165966-B2,"Methods for non-invasively and accurately estimating and monitoring resistance and work of breathing parameters from airway pressure and flow sensors attached to the ventilator-dependent patient using an adaptive mathematical model are provided. These methods are based on calculations using multiple parameters derived from the above-mentioned sensors. The resistance and work of breathing parameters are important for: assessing patient status and diagnosis, appropriately selecting treatment, assessing efficacy of treatment, and properly adjusting ventilatory support.","A61M2230/40, A61B5/4836, A61M16/021, A61M2205/505, A61M16/0816, A61M2230/205, A61M16/00, A61M16/0858, A61B5/00, A61M2205/00, A61M2230/46, A61M16/08, A61M16/0057, A61M2016/003, A61M2230/43, A61M16/0883, A61M16/0841, A61M16/0833, A61M16/203, A61M16/022, A61M2230/20, A61M16/0051, A61M16/0066, A61M16/20, A61M16/0069, A61M16/202, G16Z99/00, G06F19/00, A61M2230/00, A61M2205/50, A61M16/04, A61B5/08, A61M16/0434, A61M16/201, A61M16/024, A61M16/026, A61M2205/18, A61B5/087, A61M2016/0033, A61M2230/432, A61B5/085, A61M2016/0027, A61M2016/0039, A61M16/204, A61M16/044, A61M16/0003, A61M2205/502, A61B5/48","{'2014-03-05': 'Priority to US14/197,486', '2014-05-20': 'Assigned to UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INCORPORATED', '2014-09-18': 'Publication of US20140276173A1', '2017-09-26': 'Assigned to CONVERGENT ENGINEERING, INC.', '2019-01-01': 'Publication of US10165966B2', 'Status': 'Active', '2036-11-20': 'Adjusted expiration'}","{'US10668239B2': 'Covidien Lp', 'US10940281B2': 'Covidien Lp', 'US11207517B2': 'Stimdia Medical, Inc.', 'US11229759B2': 'Covidien Lp', 'US11478594B2': 'Covidien Lp', 'US11517691B2': 'Covidien Lp', 'US11752287B2': 'Covidien Lp'}",{}
US-10165967-B2,"Systems and methods for a continuous monitoring of analyte values received from an analyte sensor system are provided. One method for a wireless data communication between an analyte sensor system and a mobile device involves storing identification information associated with a transceiver of the analyte sensor system, the identification information entered by a user of the mobile device via a custom application running on the mobile device; causing the custom application to enter a background mode; searching for advertisement signals; receiving an advertisement signal from the transceiver; authenticating the transceiver based on the identification information; prompting the user to bring the custom application to a foreground mode; causing the custom application to request a confirmation from the user that a data connection with the transceiver is desired; receiving the confirmation from the user; and completing the data connection with the transceiver.","H04L67/12, H04W76/10, H04W4/70, H04Q2209/40, A61B5/145, H04Q9/00, Y02D30/00, A61B5/00, G16H40/00, H04Q2209/50, H04L67/00, H04Q9/14, H04W76/34, Y02A90/00, A61B5/742, A61B5/14503, A61B5/07, A61B5/076, A61B5/74, A61B5/14532, Y02A90/10, G16H20/10, H04B7/00, H04W4/00, A61B5/0004, H04W76/14, Y02D30/70, A61B5/0002, H04W76/30, G16H40/40, H04W76/00, G16H20/00, H04B7/24, H04L67/01, H04B7/26, H04Q2209/00, G16H20/17","{'2014-11-05': 'Priority to US14/534,057', '2015-05-07': 'Publication of US20150123812A1', '2015-10-22': 'Assigned to DEXCOM, INC.', '2019-01-01': 'Publication of US10165967B2', 'Status': 'Active', '2035-02-07': 'Adjusted expiration'}","{'US20170220745A1': 'Samsung Electronics Co., Ltd', 'US10863931B2': 'Dexcom, Inc.'}",{}
US-10165968-B2,Methods and apparatuses for blood glucose measurement are provided. A first glucose concentration in a body fluid of a user is detected based on a first measurement interval. A first blood glucose level of the user is determined based on the first glucose concentration. A glucose concentration measurement interval is changed from the first measurement interval to a second measurement interval according to an occurrence of an event. A second glucose concentration in the body fluid is detected based on the second measurement interval. A second blood glucose level of the user is determined based on the second glucose concentration.,"A61B5/7282, G16H50/30, A61B5/681, G16H50/00, A61B5/145, A61B5/02, A61B5/103, A61B5/14507, G16H80/00, A61B5/00, A61B5/7465, A61B5/0205, A61B2562/02, A61B5/11, A61B5/742, A61B5/02438, A61B2503/10, A61B5/6832, A61B2503/00, A61B5/74, A61B5/6801, A61B5/14532, A61B5/4809, A61B2562/00, G16Z99/00, G06F19/00, A61B5/024, A61B5/7435, A61B5/683, A61B5/14546, A61B5/7275, A61B5/4806, A61B2562/0223, A61B5/02055, A61B5/14517, A61B5/7475, A61B5/1451, A61B5/749, A61B5/7271, A61B2562/0219, A61B5/68, A61B5/6802, A61B5/72, A61B5/6833, A61B5/14514, A61B5/48","{'2015-08-20': 'Priority claimed from KR1020150117340A', '2016-05-06': 'Priority to US15/148,537', '2016-08-19': 'Assigned to SAMSUNG ELECTRONICS CO., LTD.', '2016-11-17': 'Publication of US20160331285A1', '2018-11-29': 'Priority to US16/204,298', '2019-01-01': 'Publication of US10165968B2', 'Status': 'Active', '2036-10-10': 'Adjusted expiration'}","{'US11311214B2': 'Samsung Electronics Co., Ltd'}",{}
US-10165976-B2,"Methods, compositions and systems are provided for the imaging of cavity/tissue lesions, including without limitation cavity/tissue malignant lesions, e.g. cancers of the skin, mouth, colon, digestive system cervix, bladder, lung, etc.","G06T2207/00, Y10T29/00, G06T7/0012, G06T7/73, G06T2207/30004, A61B5/441, G06T7/70, H04N5/23212, A61B5/00, A61B5/443, A61B5/0037, H04N23/70, A61B5/0033, A61B5/444, A61B1/00, A61B5/0082, A61B5/6832, H04N23/67, H04N23/10, G06T2207/30, G06T2207/30096, Y10T29/49, A61B1/04, H04N23/60, G06T2207/10, A61B5/6801, A61B5/4887, Y10T29/49716, G06T7/00, H04N23/673, H04N5/235, A61B5/683, G06T7/74, A61B5/0077, A61B5/0071, G06T2207/30088, A61B1/043, A61B5/44, G06T7/0002, H04N23/672, H04N23/00, A61B5/68, A61B5/0059, H04N23/11, G06T2207/10048, A61B5/6833, A61B5/48","{'2012-12-21': 'Priority to US14/364,053', '2014-11-27': 'Publication of US20140350395A1', '2018-11-06': 'Assigned to ORLUCENT, INC.', '2019-01-01': 'Publication of US10165976B2', 'Status': 'Active', '2034-06-09': 'Adjusted expiration'}","{'US10704892B2': 'Google Llc', 'US11776681B2': 'PAIGE.AI, Inc.'}",{}
US-10165978-B2,"A method of measuring human body information and an electronic device thereof are provided. The method includes displaying a guide image when a human body measurement mode is detected, acquiring, by a camera, a human body image, displaying the human body image, measuring a human body when the human body image corresponds to the guide image and outputting a result of the measurement of the human body.","A61B5/743, A61B5/103, A61B5/316, A61B5/00, A61B2562/02, A61B5/6887, A61B5/11, A61B5/742, A61B2503/00, A61B5/24, A61B2503/12, A61B5/74, A61B2562/00, A61B5/4869, A61B5/4872, A61B2562/0271, A61B5/0002, A61B5/0077, A61B5/4875, A61B5/6898, A61B5/1116, A61B2562/0219, A61B5/68, A61B5/0059, A61B5/04012, A61B5/48","{'2016-04-20': 'Application filed by Samsung Electronics Co Ltd', '2016-07-20': 'Assigned to SAMSUNG ELECTRONICS CO., LTD.', '2016-10-27': 'Publication of US20160310071A1', '2019-01-01': 'Publication of US10165978B2', 'Status': 'Expired - Fee Related', '2036-10-15': 'Adjusted expiration'}","{'US20180234624A1': 'Samsung Electronics Co., Ltd.'}",{}
US-10165985-B2,"A system for monitoring and diagnosing heart conditions includes a sensor array with accelerometers, an electrocardiogram sensor, and a system to capture and process the composite heart signals. The system performs source separation to extract information contained in cardio pulmonic vibrations. The system can use machine learning, auditory scene analysis, spare coding, determined Models, Principal Component Analysis (PCA), Independent Component Analysis ICA, Singular Value Decomposition (SVD), Bin-wise Clustering and Permutation posterior probability alignment, Undetermined Models, Sparseness condition, Dictionary learning, Convolutive models, K-SVD Matching Pursuit, Non-negative matrix factorization and Deep Belief Networks (Restricted Boltzmann Machine) approaches to the source separation problem. Other embodiments are disclosed.","A61B5/7225, G06N3/08, A61B5/02, A61B5/00, A61B5/0468, A61B5/0205, A61B5/0033, A61B5/332, A61B5/1107, A61B5/6832, A61B5/0536, A61B7/02, A61B5/08, G06N3/045, A61B5/6831, A61B5/02444, A61B5/333, A61B5/7235, A61B2562/0219, A61B5/349, A61B5/68, G06N3/00, G16H40/67, A61B5/7282, A61B5/0008, A61B2562/0204, A61B5/053, A61B5/103, A61B5/11, A61B5/1102, A61B7/04, G06N3/04, A61B5/02438, A61B5/05, A61B5/0404, A61B5/346, G06F19/00, A61B5/352, A61B5/0004, G06N3/047, A61B5/7246, A61B5/0456, A61B5/7271, A61B5/004, A61B5/7203, A61B5/72, G16H50/00, A61B5/04325, A61B2562/02, G06N3/088, A61B5/7257, A61B5/6801, A61B5/0006, A61B5/683, A61B5/02055, A61B5/7253, A61B5/366, A61B2562/06, A61B5/04017, A61B7/00, A61B5/0044, A61B5/6802, A61B5/04014, A61B5/02028, G16H50/30, A61B5/316, A61B5/7207, G16H40/00, A61B5/364, A61B5/318, A61B5/0816, A61B5/335, A61B5/725, A61B5/24, A61B5/361, A61B2562/00, G06N3/048, A61B5/024, A61B5/7275, A61B5/0002, G06N3/044, G06N3/02, A61B5/0015, G16H40/60, A61B5/7214, A61B5/6833, A61B5/0022","{'2017-01-03': 'Assigned to AVENTUSOFT, LLC.', '2017-07-06': 'Publication of US20170188869A1', '2019-01-01': 'Publication of US10165985B2', 'Status': 'Active', '2037-03-09': 'Adjusted expiration'}",{},{}
